state,1,2,3,4,5,6,7,8,9
0,0.40584812128084563,0.5081582568993875,0.402587856303411,0.595979311623576,0.4107079582339423,0.5052656819952103,0.39967531658954925,0.5016850604076436,0.5749736071421865
1,0.40519720862700953,0.5375943987608419,0.3993264041690802,0.660796903307345,0.4155665295327661,0.5448598183378269,0.40555769004125014,0.5443585838509312,0.7837374193877095
2,0.4317472698907958,0.5930435869565219,0.39746268656716427,0.6835501355013552,0.4348769230769232,0.5921885521885524,0.40419354838709687,0.5853725733634315,0.4920027404529702
3,0.5,0.6875,0.5434782608695652,0.7441860465116279,0.39,0.6479629629629629,0.456304347826087,0.4827586206896552,0.8426758737731274
4,0.8133375952790514,0.12097797803268662,0.7909787139200787,1.0,0.3313297617921147,0.03866817869292272,0.0,1.0,0.2638419834668675
5,0.6674860715668451,0.046642034713328284,0.8363108117316753,0.9520395340962825,0.32391249153256996,0.45439550671211115,0.6315075087766985,0.19962353002046085,0.3442623137995481
6,0.9276241069785469,0.8042834516611427,0.32201092614357085,0.023262394624765426,0.25865875265449645,0.24579367833313703,0.5850121547888887,0.351403747150028,0.23214624538992967
7,0.18831005769551334,0.7718068031329943,0.46175729558164447,0.9712947371198257,0.5228126879490765,0.9687988394092683,0.5943150564030871,0.23139515328736204,0.8282893628304687
8,0.35556913564152015,0.050082815087082566,0.985021661895896,0.46206116513796336,0.2965466890976447,0.1216746585370444,0.2529698839718124,0.5006330647310908,0.24615623821268495
9,0.10003381838435177,0.6143531271777032,0.646645319789282,0.7766632132986402,0.0949198848385645,0.4288328897945807,0.2628859971669303,0.42742824788601796,0.8224561332122093
10,0.4577803917915242,0.838472330420826,0.465998445206539,0.34350776029961394,0.5458549634492494,0.19510532682487325,0.5165283617631707,0.10904717141400111,0.5896567666387589
11,0.49786130389783056,0.6400953285197786,0.2093726120098015,0.3329756876021116,0.16574254691441814,0.12809588796978333,0.049678764452766866,0.7886232341243806,0.5657915943896618
12,0.21667088640826793,0.8621932945311015,0.4594881881793854,0.1290562000981066,0.5922053058030281,0.21523163818851188,0.7105062970087123,0.6465557533571928,0.9933595596420028
13,0.9866143134144532,0.6421452596890314,0.024389168513501147,0.08819042072026695,0.3916032603785099,0.43090695633983345,0.011466800851997916,0.052346499540409486,0.5643350330451188
14,0.5603737899505374,0.5194951090725687,0.09011620009985455,0.8225578923183998,0.3258247639844144,0.4623926804143622,0.05306182150153349,0.5172957844173592,0.6867200394343431
15,0.034374947544949186,0.14979042708312496,0.5949500667966666,0.44357208127141823,0.5433464750068688,0.7596218326727802,0.9140693949929296,0.7477725487328465,0.20118904481571587
16,0.12657208971435263,0.2861278713682015,0.5432841127857552,0.6765054311728738,0.636241622296558,0.7442734946162994,0.6094154847105752,0.8285440986253052,0.5999973814616244
