state,esperance
0,0.0
1,-0.7740463772503428
2,-0.6310554386604016
3,-0.41595977404848494
4,-0.1793211099611719
5,0.10165730359271391
6,0.2700705190359751
7,0.4564939401010479
8,0.5527517563347503
9,0.7994079362369061
10,0.0
