state,esperance
0,-1.904658439403017
1,-2.2094381566773214
2,-3.037244866645791
3,0.0
4,-1.6259012521580463
5,-1.7920369960777023
6,-2.1160251517801973
7,-2.5857026270554977
8,-1.2884770898279463
9,-1.2583502335556789
10,-1.1430919797664423
11,-0.8873201586702502
12,-1.0248210456564677
13,-0.8492983565075448
14,-0.31018018536059044
15,0.0
